Matrix,Init Time (ms),Best Time (ms),Best col_frac,Best hot_frac
flowmeter0,0.005226,0.004964,0,0
adder_dcop_34,0.0102,0.004966,0,0
GD06_Java,0.0066,0.004968,0,0
linverse,0.004968,0.004968,1,1
cryg10000,0.005025,0.004969,0,0
adder_dcop_57,0.010043,0.00497,0,0
adder_dcop_15,0.010139,0.004972,0,0
adder_dcop_45,0.010138,0.004972,0,0
adder_dcop_06,0.010157,0.004973,0,0
tumorAntiAngiogenesis_7,0.008937,0.004973,0,0
cavity03,0.006098,0.004974,0,0
tumorAntiAngiogenesis_5,0.010025,0.004974,0,0
G47,0.005037,0.004976,0,0
adder_dcop_40,0.009991,0.004976,0,0
fs_183_3,0.006008,0.004976,0,0
adder_dcop_10,0.010098,0.004977,0,0
adder_dcop_59,0.00982,0.004978,0,0
fs_183_4,0.00592,0.004978,0,0
plbuckle,0.005112,0.004978,0,0
adder_dcop_20,0.010002,0.004979,0,0
adder_dcop_30,0.010136,0.004979,0,0
hangGlider_2,0.007295,0.004979,0,0
spaceShuttleEntry_2,0.008207,0.00498,0,0
bcsstk34,0.005602,0.004981,0,0
mcca,0.006671,0.004981,0,0
adder_dcop_35,0.009804,0.004982,0,0
bp_200,0.010454,0.004983,0,0
adder_dcop_17,0.010071,0.004984,0,0
adder_dcop_55,0.009991,0.004984,0,0
ex4,0.005483,0.004984,0,0
adder_dcop_61,0.010124,0.004985,0,0
G53,0.008689,0.004987,0,0
rail_5177,0.004987,0.004987,1,1
Olivetti_norm_10NN,0.006235,0.004988,0,0
adder_dcop_32,0.010121,0.004989,0,0
Si2,0.006612,0.00499,0,0
collins_15NN,0.005322,0.00499,0,0
Trefethen_2000,0.005208,0.004992,0,0
lock_700,0.006801,0.004992,0,0
dwt_503,0.005255,0.004993,0,0
semeion_10NN,0.005008,0.004993,0,0
flowmeter5,0.004996,0.004996,1,1
ACTIVSg2000,0.005311,0.004997,0,0
sherman5,0.004997,0.004997,1,1
LF10000,0.005705,0.004999,0,0
spaceStation_11,0.009218,0.005,0,0
ODLIS,0.005612,0.005001,0,0
can_1054,0.005046,0.005001,0,0
adder_dcop_24,0.010073,0.005003,0,0
adder_dcop_31,0.010039,0.005003,0,0
adder_dcop_39,0.010121,0.005003,0,0
can_1072,0.005007,0.005007,1,1
sit100,0.00501,0.00501,1,1
bcsstk06,0.005012,0.005012,1,1
cavity01,0.006286,0.005013,0,0
fpga_dcop_21,0.005014,0.005014,1,1
mycielskian8,0.007337,0.005015,0,0
G44,0.005186,0.005017,0,0
adder_dcop_64,0.010043,0.005017,0,0
bp_800,0.010171,0.005017,0,0
can_256,0.006218,0.005017,0,0
ex36,0.005661,0.005017,0,0
adder_dcop_46,0.009988,0.005018,0,0
goddardRocketProblem_1,0.013855,0.005018,0,0
adder_dcop_54,0.010189,0.005019,0,0
G56,0.005023,0.005023,1,1
adder_dcop_41,0.009975,0.005024,0,0
hor_131,0.005191,0.005024,0,0
utm3060,0.00541,0.005027,0,0
adder_trans_01,0.013768,0.005028,0,0
g7jac010sc,0.005138,0.005028,0,0
delaunay_n13,0.005305,0.005029,0,0
lowThrust_1,0.01061,0.005029,0,0
adder_dcop_52,0.010162,0.00503,0,0
G54,0.008719,0.005032,0,0
dataset22mfeatzernike_10NN,0.005445,0.005032,0,0
fpga_dcop_01,0.005033,0.005033,1,1
fpga_dcop_32,0.005033,0.005033,1,1
fpga_trans_01,0.005272,0.005033,0,0
bp_1600,0.010431,0.005034,0,0
fpga_dcop_18,0.005034,0.005034,1,1
utm1700b,0.005034,0.005034,1,1
adder_dcop_09,0.010334,0.005035,0,0
LeGresley_2508,0.005114,0.005036,0,0
S40PI_n,0.005043,0.005043,1,1
celegans_metabolic,0.011648,0.005043,0,0
bp_1000,0.011352,0.005044,0,0
fs_183_6,0.006,0.005044,0,0
Erdos981,0.00512,0.005047,0,0
adder_dcop_29,0.009998,0.005047,0,0
rajat04,0.010008,0.005047,0,0
rbsb480,0.00512,0.005048,0,0
tumorAntiAngiogenesis_6,0.009451,0.005048,0,0
adder_dcop_50,0.010007,0.005049,0,0
fpga_dcop_06,0.005049,0.005049,1,1
fv3,0.005049,0.005049,1,1
G19,0.009391,0.00505,0,0
adder_dcop_66,0.01004,0.00505,0,0
CurlCurl_0,0.005051,0.005051,1,1
adder_dcop_07,0.01045,0.005051,0,0
adder_dcop_60,0.009985,0.005051,0,0
nasa1824,0.005851,0.005054,0,0
bp_1200,0.010119,0.005056,0,0
qc324,0.007692,0.005059,0,0
adder_dcop_62,0.009905,0.00506,0,0
G43,0.005191,0.005063,0,0
LFAT5000,0.005064,0.005064,1,1
fpga_dcop_11,0.005064,0.005064,1,1
fpga_dcop_45,0.005064,0.005064,1,1
CAG_mat364,0.007278,0.005066,0,0
fpga_dcop_33,0.005066,0.005066,1,1
fpga_dcop_43,0.005066,0.005066,1,1
spaceStation_6,0.00797,0.005066,0,0
spaceStation_9,0.008912,0.005067,0,0
fpga_dcop_09,0.005068,0.005068,1,1
fpga_dcop_26,0.00507,0.00507,1,1
adder_dcop_14,0.00996,0.005071,0,0
pesa,0.005171,0.005072,0,0
