Matrix Name,square_ratio
gas_sensor,0.426487
gearbox,0.411620
gemat11,0.337705
gemat12,0.336233
geom,0.085572
germany_osm,0.436284
goddardRocketProblem_1,0.380213
goddardRocketProblem_2,0.379052
goodwin,0.338145
gr_30_30,0.439769
graham1,0.331524
gre_1107,0.430259
gre_343,0.415609
gre_512,0.420036
great-britain_osm,0.424557
grid2,0.475823
grid2_dual,0.455959
gridgena,0.382706
gsm_106857,0.369983
gupta1,0.202429
gupta2,0.202737
gupta3,0.194089
gyro,0.339567
gyro_k,0.339567
gyro_m,0.339680
halfb,0.432336
hangGlider_1,0.380802
hangGlider_2,0.381721
hangGlider_3,0.384406
hangGlider_4,0.385486
hangGlider_5,0.386050
har_10NN,0.457751
hcircuit,0.392611
heart1,0.424648
heart2,0.421856
heart3,0.421856
helm2d03,0.478620
helm3d01,0.379870
hep-th,0.140901
hi2010,0.365958
higgs-twitter,0.027018
hollywood-2009,0.025062
hood,0.477949
hor_131,0.411768
hugebubbles-00000,0.479751
hugebubbles-00010,0.479758
hugebubbles-00020,0.479789
hugetrace-00000,0.479499
hugetrace-00010,0.479789
hugetrace-00020,0.479808
hugetric-00000,0.479637
hugetric-00010,0.479680
hugetric-00020,0.479694
human_gene1,0.075789
human_gene2,0.101088
hvdc1,0.346661
hvdc2,0.337159
hydr1,0.188709
hydr1c,0.188709
iChem_Jacobian,0.430520
ia2010,0.405245
ibm_matrix_2,0.447757
id2010,0.349418
ifiss_mat,0.408058
igbt3,0.457378
il2010,0.399532
imagesensor,0.424160
impcol_d,0.318394
impcol_e,0.145857
in-2004,0.018722
in2010,0.387511
indianpines_10NN,0.480105
indochina-2004,0.003927
init_adder1,0.312333
inlet,0.403252
inline_1,0.403869
ins2,0.369282
