Matrix Name,cd_perf (ms),cusparse_perf (ms)
cage8,0.0048,0.0089
cage9,0.0049,0.0091
caidaRouterLevel,0.0349,0.0252
can_1054,0.0050,0.0087
can_1072,0.0049,0.0089
can_144,0.0046,0.0082
can_161,0.0048,0.0085
can_187,0.0045,0.0081
can_229,0.0045,0.0084
can_256,0.0050,0.0082
can_268,0.0048,0.0084
can_292,0.0048,0.0086
can_445,0.0048,0.0085
can_634,0.0048,0.0086
can_715,0.0048,0.0084
can_838,0.0048,0.0085
cant,0.0162,0.0292
case39,0.0122,0.0143
case9,0.0913,0.0097
cavity01,0.0049,0.0081
cavity02,0.0052,0.0083
cavity03,0.0050,0.0083
cavity04,0.0053,0.0084
cavity05,0.0052,0.0089
cavity06,0.0056,0.0089
cavity07,0.0053,0.0088
cavity08,0.0056,0.0087
cavity09,0.0053,0.0089
cavity10,0.0055,0.0088
cavity11,0.0058,0.0089
cavity12,0.0057,0.0089
cavity13,0.0058,0.0091
cavity14,0.0056,0.0088
cavity15,0.0057,0.0086
cavity16,0.0058,0.0090
cavity17,0.0059,0.0092
cavity18,0.0059,0.0092
cavity19,0.0059,0.0091
cavity20,0.0059,0.0091
cavity21,0.0059,0.0090
cavity22,0.0058,0.0090
cavity23,0.0059,0.0091
cavity24,0.0059,0.0093
cavity25,0.0060,0.0094
cavity26,0.0058,0.0091
cbuckle,0.0072,0.0119
cca,0.0068,0.0105
ccc,0.0065,0.0097
cdde1,0.0047,0.0091
cdde2,0.0048,0.0093
cdde3,0.0047,0.0093
cdde4,0.0047,0.0092
cdde5,0.0048,0.0093
cdde6,0.0046,0.0090
cegb2802,0.0063,0.0102
cegb2919,0.0069,0.0100
cegb3024,0.0054,0.0089
cegb3306,0.0052,0.0090
celegans_metabolic,0.0051,0.0086
celegansneural,0.0050,0.0085
cell1,0.0048,0.0094
cell2,0.0048,0.0094
cfd1,0.0097,0.0174
cfd2,0.0130,0.0217
ch5-5-b3,0.0044,0.0089
ch7-8-b5,0.0098,0.0121
channel-500x100x100-b050,0.3922,0.5089
chem_master1,0.0055,0.0099
chipcool0,0.0063,0.0100
chipcool1,0.0065,0.0105
circuit204,0.0049,0.0087
circuit5M,0.3608,0.4569
circuit5M_dc,0.1323,0.1328
circuit_1,0.0052,0.0087
circuit_2,0.0055,0.0100
circuit_3,0.0062,0.0099
circuit_4,0.0141,0.0107
cit-HepPh,0.0175,0.0171
cit-HepTh,0.0182,0.0158
cit-Patents,0.2336,0.2136
citationCiteseer,0.0401,0.0367
ck400,0.0046,0.0087
ck656,0.0046,0.0083
ckt11752_dc_1,0.0137,0.0104
ckt11752_tr_0,0.0136,0.0105
cnae9_10NN,0.0052,0.0084
cnr-2000,0.0355,0.0250
co2010,0.0146,0.0149
coAuthorsCiteseer,0.0239,0.0194
coAuthorsDBLP,0.0305,0.0241
coPapersCiteseer,0.1586,0.2315
coPapersDBLP,0.1559,0.2220
coater1,0.0052,0.0085
coater2,0.0060,0.0098
collins_15NN,0.0050,0.0084
com-Amazon,0.0338,0.0325
com-DBLP,0.0367,0.0323
com-LiveJournal,0.6300,0.6295
com-Orkut,2.4097,2.5788
com-Youtube,0.0851,0.0624
commanche_dual,0.0048,0.0093
comsol,0.0060,0.0094
cond-mat-2003,0.0090,0.0121
cond-mat-2005,0.0135,0.0131
cond-mat,0.0074,0.0098
conf5_0-4x4-10,0.0054,0.0085
conf5_0-4x4-14,0.0054,0.0087
conf5_0-4x4-18,0.0054,0.0087
conf5_0-4x4-22,0.0054,0.0085
conf5_0-4x4-26,0.0054,0.0086
conf5_4-8x8-05,0.0102,0.0175
conf5_4-8x8-10,0.0102,0.0175
conf5_4-8x8-15,0.0103,0.0178
conf5_4-8x8-20,0.0103,0.0177
conf6_0-4x4-20,0.0053,0.0085
conf6_0-4x4-30,0.0053,0.0084
conf6_0-8x8-20,0.0102,0.0175
conf6_0-8x8-30,0.0102,0.0176
conf6_0-8x8-80,0.0102,0.0174
consph,0.0331,0.0480
cont-201,0.0100,0.0107
cont-300,0.0116,0.0128
cop20k_A,0.1423,0.0557
copter1,0.0058,0.0100
copter2,0.0089,0.0116
coupled,0.0063,0.0101
crack,0.0055,0.0095
crack_dual,0.0065,0.0106
crankseg_1,0.0571,0.0907
crankseg_2,0.0734,0.1177
crashbasis,0.0102,0.0172
crplat2,0.0076,0.0126
cryg10000,0.0051,0.0095
cryg2500,0.0049,0.0092
crystk01,0.0067,0.0102
crystk02,0.0078,0.0130
crystk03,0.0093,0.0180
crystm01,0.0053,0.0092
crystm02,0.0068,0.0098
crystm03,0.0080,0.0107
cs4,0.0081,0.0108
ct2010,0.0115,0.0115
ct20stif,0.0120,0.0212
cti,0.0051,0.0092
cvxbqp1,0.0092,0.0106
cvxqp3,0.0063,0.0097
