Matrix Name,Rows,NNZs,Parameters (colProp, rowProp),TC_nnz_ratio,du_spmv (ms),cdspmv (ms)
it-2004,41291594,1150725436,(0.4375, 0.35),0.922607,2.2561,7.4003
it-2004,41291594,1150725436,(0.5, 0.4),0.915294,2.6104,6.8989
it-2004,41291594,1150725436,(0.5625, 0.45),0.895442,2.9582,6.442
it-2004,41291594,1150725436,(0.625, 0.5),0.873949,3.331,5.9575
it-2004,41291594,1150725436,(0.6875, 0.55),0.842870,3.7233,5.4609
it-2004,41291594,1150725436,(0.75, 0.6),0.794497,4.1598,4.9557
it-2004,41291594,1150725436,(0.8125, 0.65),0.736183,4.6807,4.4654
it-2004,41291594,1150725436,(0.875, 0.7),0.681349,5.325,3.9481
ldoor,952203,46522475,(0.1875, 0.15),0.534074,0.0502,0.3664
ldoor,952203,46522475,(0.25, 0.2),0.531585,0.0728,0.3467
ldoor,952203,46522475,(0.3125, 0.25),0.530922,0.0963,0.3272
ldoor,952203,46522475,(0.375, 0.3),0.531253,0.1191,0.3068
ldoor,952203,46522475,(0.4375, 0.35),0.531408,0.14,0.2875
ldoor,952203,46522475,(0.5, 0.4),0.528851,0.162,0.2673
ldoor,952203,46522475,(0.5625, 0.45),0.528898,0.1805,0.2479
ldoor,952203,46522475,(0.625, 0.5),0.528300,0.199,0.2273
ldoor,952203,46522475,(0.6875, 0.55),0.524277,0.2183,0.2068
ldoor,952203,46522475,(0.75, 0.6),0.522619,0.2381,0.1869
ldoor,952203,46522475,(0.8125, 0.65),0.521344,0.2576,0.1686
ldoor,952203,46522475,(0.875, 0.7),0.520915,0.2766,1.0181
sk-2005,50636154,1949412601,(0.1875, 0.15),0.944065,1.3482,15.1385
sk-2005,50636154,1949412601,(0.25, 0.2),0.946343,1.9085,14.3185
sk-2005,50636154,1949412601,(0.3125, 0.25),0.951668,2.4963,13.5126
sk-2005,50636154,1949412601,(0.375, 0.3),0.942556,3.1052,12.6847
sk-2005,50636154,1949412601,(0.4375, 0.35),0.933474,3.7213,11.8908
sk-2005,50636154,1949412601,(0.5, 0.4),0.925428,4.3333,11.0434
sk-2005,50636154,1949412601,(0.5625, 0.45),0.907979,4.9322,10.2447
sk-2005,50636154,1949412601,(0.625, 0.5),0.747783,5.5602,9.4943
sk-2005,50636154,1949412601,(0.6875, 0.55),0.729835,6.7345,8.6518
sk-2005,50636154,1949412601,(0.75, 0.6),0.695720,7.5127,7.8334
sk-2005,50636154,1949412601,(0.8125, 0.65),0.659246,8.4114,6.9844
sk-2005,50636154,1949412601,(0.875, 0.7),0.631004,9.4696,6.1582
uk-2002,18520486,298113762,(0.1875, 0.15),0.887848,0.231,2.6557
uk-2002,18520486,298113762,(0.25, 0.2),0.887638,0.3363,2.527
uk-2002,18520486,298113762,(0.3125, 0.25),0.883205,0.4385,2.3991
uk-2002,18520486,298113762,(0.375, 0.3),0.878034,0.5432,2.2596
uk-2002,18520486,298113762,(0.4375, 0.35),0.868785,0.6429,2.1384
uk-2002,18520486,298113762,(0.5, 0.4),0.849707,0.7454,2.0085
uk-2002,18520486,298113762,(0.5625, 0.45),0.822313,0.8568,1.8774
uk-2002,18520486,298113762,(0.625, 0.5),0.793635,0.9759,1.7424
uk-2002,18520486,298113762,(0.6875, 0.55),0.759504,1.1002,1.6023
uk-2002,18520486,298113762,(0.75, 0.6),0.717150,1.2464,1.4643
uk-2002,18520486,298113762,(0.8125, 0.65),0.661666,1.4104,1.3211
uk-2002,18520486,298113762,(0.875, 0.7),0.589376,1.6154,1.1699
uk-2005,39459925,936364282,(0.1875, 0.15),0.775355,0.6013,7.7948
uk-2005,39459925,936364282,(0.25, 0.2),0.810529,0.9928,7.3953
uk-2005,39459925,936364282,(0.3125, 0.25),0.824267,1.2859,7.0018
uk-2005,39459925,936364282,(0.375, 0.3),0.831672,1.5887,6.6084
uk-2005,39459925,936364282,(0.4375, 0.35),0.831590,1.8957,6.2035
uk-2005,39459925,936364282,(0.5, 0.4),0.827664,2.2162,5.8124
uk-2005,39459925,936364282,(0.5625, 0.45),0.820160,2.5446,5.4012
uk-2005,39459925,936364282,(0.625, 0.5),0.815248,2.8814,4.9968
uk-2005,39459925,936364282,(0.6875, 0.55),0.800815,3.2062,4.6091
uk-2005,39459925,936364282,(0.75, 0.6),0.778413,3.5794,4.191
uk-2005,39459925,936364282,(0.8125, 0.65),0.740359,3.989,3.7796
uk-2005,39459925,936364282,(0.875, 0.7),0.688459,4.502,3.3459
webbase-2001,118142155,1019903190,(0.1875, 0.15),0.826144,0.8195,10.2524
webbase-2001,118142155,1019903190,(0.25, 0.2),0.826702,1.2133,9.8035
webbase-2001,118142155,1019903190,(0.3125, 0.25),0.815517,1.5965,9.3514
webbase-2001,118142155,1019903190,(0.375, 0.3),0.791072,2.0044,8.8377
webbase-2001,118142155,1019903190,(0.4375, 0.35),0.757509,2.4208,8.3583
webbase-2001,118142155,1019903190,(0.5, 0.4),0.718593,2.9041,7.88
webbase-2001,118142155,1019903190,(0.5625, 0.45),0.674697,3.4539,7.3918
webbase-2001,118142155,1019903190,(0.625, 0.5),0.626761,4.0788,6.9155
webbase-2001,118142155,1019903190,(0.6875, 0.55),0.579256,4.8113,6.4293
webbase-2001,118142155,1019903190,(0.75, 0.6),0.523332,5.6444,5.9535
webbase-2001,118142155,1019903190,(0.8125, 0.65),0.466756,6.7059,5.465
webbase-2001,118142155,1019903190,(0.875, 0.7),0.413472,7.9904,4.9755
