Matrix Name,cd_perf (ms),cusparse_perf (ms)
circuit5M_dc,0.1437,0.1460
circuit_1,0.0051,0.0134
circuit_2,0.0056,0.0147
circuit_3,0.0063,0.0149
circuit_4,0.0074,0.0161
cit-HepPh,0.0134,0.0223
cit-HepTh,0.0139,0.0208
cit-Patents,0.2248,0.2240
citationCiteseer,0.0339,0.0433
ck400,0.0043,0.0123
ck656,0.0045,0.0123
ckt11752_dc_1,0.0074,0.0158
ckt11752_tr_0,0.0074,0.0158
cnae9_10NN,0.0049,0.0127
cnr-2000,0.0301,0.0314
co2010,0.0128,0.0211
coAuthorsCiteseer,0.0171,0.0254
coAuthorsDBLP,0.0211,0.0304
coPapersCiteseer,0.3024,0.2374
coPapersDBLP,0.2609,0.2290
coater1,0.0050,0.0126
coater2,0.0058,0.0143
collins_15NN,0.0047,0.0127
com-Amazon,0.0277,0.0389
com-DBLP,0.0280,0.0386
com-LiveJournal,0.7083,0.6453
com-Orkut,2.8278,2.5848
com-Youtube,0.0722,0.0701
commanche_dual,0.0046,0.0138
comsol,0.0057,0.0135
cond-mat-2003,0.0087,0.0174
cond-mat-2005,0.0098,0.0183
cond-mat,0.0074,0.0151
conf5_0-4x4-10,0.0050,0.0127
conf5_0-4x4-14,0.0051,0.0134
conf5_0-4x4-18,0.0050,0.0130
conf5_0-4x4-22,0.0052,0.0130
conf5_0-4x4-26,0.0051,0.0131
conf5_4-8x8-05,0.0152,0.0228
conf5_4-8x8-10,0.0153,0.0233
conf5_4-8x8-15,0.0152,0.0231
conf5_4-8x8-20,0.0152,0.0229
conf6_0-4x4-20,0.0051,0.0131
conf6_0-4x4-30,0.0051,0.0133
conf6_0-8x8-20,0.0152,0.0230
conf6_0-8x8-30,0.0153,0.0235
conf6_0-8x8-80,0.0153,0.0233
consph,0.0553,0.0530
cont-201,0.0070,0.0162
cont-300,0.0102,0.0187
cop20k_A,0.1349,0.0614
copter1,0.0056,0.0153
copter2,0.0083,0.0171
coupled,0.0060,0.0148
crack,0.0052,0.0143
crack_dual,0.0063,0.0158
crankseg_1,0.1094,0.0943
crankseg_2,0.1548,0.1222
crashbasis,0.0118,0.0231
crplat2,0.0086,0.0176
cryg10000,0.0048,0.0140
cryg2500,0.0048,0.0138
crystk01,0.0058,0.0147
crystk02,0.0102,0.0180
crystk03,0.0165,0.0230
crystm01,0.0050,0.0135
crystm02,0.0060,0.0152
crystm03,0.0074,0.0159
cs4,0.0078,0.0160
ct2010,0.0081,0.0169
ct20stif,0.0187,0.0267
cti,0.0051,0.0147
cvxbqp1,0.0064,0.0160
cvxqp3,0.0060,0.0148
cyl6,0.0075,0.0167
cz10228,0.0054,0.0143
cz1268,0.0050,0.0132
